tot_purch_amt,sale_month,cty_twnshp_nme,crv_nbr,df.sale_year,dates,quarter
199900,7,St. Paul,683535,2017,2017-08-21,Q3-2017
148000,7,St. Paul,683594,2017,2017-08-07,Q3-2017
271500,6,St. Paul,683610,2017,2017-08-24,Q3-2017
172500,7,St. Paul,683612,2017,2017-07-18,Q3-2017
625000,7,Minneapolis,683665,2017,2017-09-14,Q3-2017
219000,7,Minneapolis,683672,2017,2017-10-20,Q4-2017
170000,6,Minneapolis,683675,2017,2017-10-18,Q4-2017
162000,7,Minneapolis,683692,2017,2017-09-14,Q3-2017
378000,7,Minneapolis,683707,2017,2017-10-20,Q4-2017
74000,7,St. Paul,683710,2017,2017-07-18,Q3-2017
670900,7,Minneapolis,683720,2017,2017-09-14,Q3-2017
167000,7,St. Paul,683772,2017,2017-10-19,Q4-2017
325000,7,Minneapolis,683773,2017,2017-10-18,Q4-2017
242000,7,Minneapolis,683798,2017,2017-09-25,Q3-2017
740000,7,Minneapolis,683809,2017,2017-09-27,Q3-2017
174000,7,St. Paul,683817,2017,2017-10-13,Q4-2017
1165000,7,Minneapolis,683820,2017,2017-09-25,Q3-2017
338050,7,St. Paul,683825,2017,2017-08-09,Q3-2017
185000,7,St. Paul,683834,2017,2017-08-01,Q3-2017
20000,7,Minneapolis,683846,2017,2017-09-25,Q3-2017
305000,7,St. Paul,683850,2017,2017-09-22,Q3-2017
367000,7,Minneapolis,683862,2017,2017-09-20,Q3-2017
460000,7,St. Paul,683866,2017,2017-09-22,Q3-2017
192000,7,St. Paul,683882,2017,2017-10-05,Q4-2017
131000,7,St. Paul,683911,2017,2017-08-07,Q3-2017
266000,7,St. Paul,683923,2017,2017-09-20,Q3-2017
254000,7,Minneapolis,683924,2017,2017-10-18,Q4-2017
237000,7,Minneapolis,683946,2017,2017-10-18,Q4-2017
217500,7,Minneapolis,683948,2017,2017-09-14,Q3-2017
210000,7,St. Paul,683956,2017,2017-10-13,Q4-2017
749900,7,Minneapolis,683958,2017,2017-10-18,Q4-2017
225000,7,St. Paul,683969,2017,2017-07-28,Q3-2017
172000,7,Minneapolis,683974,2017,2017-10-18,Q4-2017
178000,7,Minneapolis,684030,2017,2017-10-18,Q4-2017
142000,7,St. Paul,684044,2017,2017-10-13,Q4-2017
320550,7,St. Paul,684050,2017,2017-09-27,Q3-2017
192000,7,St. Paul,684057,2017,2017-07-18,Q3-2017
271000,7,Minneapolis,684063,2017,2017-10-18,Q4-2017
165000,7,St. Paul,684098,2017,2017-07-20,Q3-2017
202500,7,Minneapolis,684106,2017,2017-09-14,Q3-2017
212500,7,Minneapolis,684118,2017,2017-09-26,Q3-2017
154000,7,Minneapolis,684121,2017,2017-10-18,Q4-2017
277500,7,Minneapolis,684127,2017,2017-10-18,Q4-2017
130000,6,St. Paul,684143,2017,2017-10-13,Q4-2017
247000,7,Minneapolis,684148,2017,2017-10-20,Q4-2017
249900,7,St. Paul,684151,2017,2017-10-19,Q4-2017
190000,7,Minneapolis,684172,2017,2017-09-25,Q3-2017
155000,7,Minneapolis,684202,2017,2017-10-18,Q4-2017
1.00E+06,6,Minneapolis,684233,2017,2017-07-28,Q3-2017
171000,9,St. Paul,684234,2017,2017-10-27,Q4-2017
394200,7,Minneapolis,684255,2017,2018-11-05,Q4-2018
1.00E+05,7,Minneapolis,684264,2017,2017-09-25,Q3-2017
360000,6,Minneapolis,684266,2017,2017-09-25,Q3-2017
627585,7,Minneapolis,684294,2017,2017-09-14,Q3-2017
